11AM	9-0-8	1/2/2020	312
11AM	9-3-2	1/3/2020	211
11AM	0-2-8	1/4/2020	173
11AM	5-9-8	1/5/2020	108
11AM	9-6-5	1/6/2020	204
11AM	5-3-1	1/7/2020	320
11AM	3-1-1	1/8/2020	399
11AM	5-2-3	1/9/2020	299
11AM	3-0-2	1/10/2020	590
11AM	9-9-1	1/11/2020	177
11AM	9-4-5	1/12/2020	275
11AM	8-6-9	1/13/2020	98
11AM	7-1-7	1/14/2020	210
11AM	7-7-3	1/15/2020	72
11AM	6-9-6	1/16/2020	140
11AM	1-1-9	1/17/2020	1002
11AM	9-8-3	1/18/2020	143
11AM	5-3-3	1/19/2020	309
11AM	1-4-1	1/20/2020	352
11AM	6-7-5	1/21/2020	117
11AM	0-7-5	1/22/2020	246
11AM	4-8-8	1/23/2020	163
11AM	9-5-8	1/24/2020	92
11AM	3-3-6	1/25/2020	224
11AM	3-3-1	1/26/2020	414
11AM	3-2-4	1/27/2020	292
11AM	2-7-2	1/28/2020	445
11AM	0-1-7	1/29/2020	164
11AM	1-9-9	1/30/2020	343
11AM	0-9-4	1/31/2020	53
11AM	0-6-3	2/1/2020	109
11AM	2-9-7	2/2/2020	237
11AM	5-9-0	2/3/2020	159
11AM	7-9-5	2/4/2020	273
11AM	1-3-8	2/5/2020	619
11AM	4-1-0	2/6/2020	470
11AM	3-9-4	2/7/2020	126
11AM	8-7-6	2/8/2020	240
11AM	7-7-0	2/9/2020	197
11AM	4-5-9	2/10/2020	265
11AM	8-9-7	2/11/2020	188
11AM	2-2-9	2/12/2020	684
11AM	0-3-7	2/13/2020	176
11AM	7-3-1	2/14/2020	727
11AM	0-8-0	2/15/2020	132
11AM	1-6-7	2/16/2020	357
11AM	7-2-5	2/17/2020	562
11AM	2-9-2	2/18/2020	182
4PM	0-5-2	1/2/2020	157
4PM	5-8-3	1/3/2020	206
4PM	1-4-6	1/4/2020	335
4PM	9-7-3	1/5/2020	106
4PM	3-4-6	1/6/2020	253
4PM	0-9-4	1/7/2020	29
4PM	3-8-3	1/8/2020	128
4PM	5-2-0	1/9/2020	430
4PM	2-2-0	1/10/2020	1125
4PM	5-6-6	1/11/2020	67
4PM	6-4-2	1/12/2020	364
4PM	8-1-1	1/13/2020	362
4PM	8-0-9	1/14/2020	184
4PM	1-9-2	1/15/2020	260
4PM	8-5-6	1/16/2020	254
4PM	4-6-5	1/17/2020	217
4PM	6-7-2	1/18/2020	226
4PM	8-6-3	1/19/2020	219
4PM	3-2-7	1/20/2020	323
4PM	8-9-6	1/21/2020	151
4PM	5-7-8	1/22/2020	500
4PM	4-4-8	1/23/2020	555
4PM	8-7-6	1/24/2020	322
4PM	5-6-5	1/25/2020	311
4PM	0-4-3	1/26/2020	129
4PM	7-2-0	1/27/2020	512
4PM	9-6-5	1/28/2020	118
4PM	2-7-7	1/29/2020	167
4PM	0-5-6	1/30/2020	134
4PM	3-7-7	1/31/2020	162
4PM	5-9-6	2/1/2020	74
4PM	7-9-7	2/2/2020	285
4PM	3-4-5	2/3/2020	153
4PM	8-2-4	2/4/2020	1128
4PM	5-2-8	2/5/2020	426
4PM	5-0-6	2/6/2020	212
4PM	6-2-7	2/7/2020	338
4PM	8-5-6	2/8/2020	255
4PM	3-3-8	2/9/2020	154
4PM	2-6-1	2/10/2020	385
4PM	7-6-4	2/11/2020	161
4PM	4-8-6	2/12/2020	255
4PM	0-2-7	2/13/2020	267
4PM	7-0-4	2/14/2020	509
4PM	9-9-8	2/15/2020	240
4PM	8-2-7	2/16/2020	295
4PM	4-1-9	2/17/2020	432
4PM	4-0-7	2/18/2020	236
9PM	0-6-2	1/2/2020	250
9PM	7-4-4	1/3/2020	414
9PM	7-4-9	1/4/2020	500
9PM	7-0-6	1/5/2020	275
9PM	5-7-7	1/6/2020	287
9PM	9-6-7	1/7/2020	479
9PM	7-6-3	1/8/2020	284
9PM	8-6-9	1/9/2020	267
9PM	4-6-9	1/10/2020	330
9PM	4-1-8	1/11/2020	798
9PM	8-3-1	1/12/2020	326
9PM	5-9-2	1/13/2020	175
9PM	8-9-1	1/14/2020	298
9PM	5-7-4	1/15/2020	315
9PM	3-4-7	1/16/2020	408
9PM	4-6-5	1/17/2020	258
9PM	1-4-0	1/18/2020	743
9PM	4-0-4	1/19/2020	492
9PM	7-4-3	1/20/2020	318
9PM	7-5-7	1/21/2020	317
9PM	1-1-0	1/22/2020	786
9PM	5-3-3	1/23/2020	243
9PM	8-2-5	1/24/2020	916
9PM	8-1-2	1/25/2020	494
9PM	6-0-5	1/26/2020	449
9PM	4-0-6	1/27/2020	286
9PM	9-3-3	1/28/2020	362
9PM	6-3-9	1/29/2020	591
9PM	5-6-2	1/30/2020	655
9PM	0-7-1	1/31/2020	166
9PM	0-3-4	2/1/2020	189
9PM	6-0-5	2/2/2020	156
9PM	1-3-0	2/3/2020	982
9PM	2-4-2	2/4/2020	1192
9PM	5-8-0	2/5/2020	514
9PM	3-6-8	2/6/2020	458
9PM	9-6-5	2/7/2020	261
9PM	0-1-5	2/8/2020	365
9PM	0-2-8	2/9/2020	233
9PM	1-6-2	2/10/2020	427
9PM	2-1-2	2/11/2020	1192
9PM	2-1-1	2/12/2020	1188
9PM	3-7-3	2/13/2020	547
9PM	9-5-2	2/14/2020	314
9PM	2-0-6	2/15/2020	678
9PM	0-5-8	2/16/2020	256
9PM	8-4-0	2/17/2020	390
9PM	2-2-7	2/18/2020	1094
11AM	9-0-4	2/19/2020	197
4PM 8-2-7	2/19/2020	152
9PM	8-8-6	2/19/2020	314
