11AM	9-4-0	4/27/2018	4,500.00	307
11AM	2-3-3	4/28/2018	4,500.00	516
11AM	3-5-7	4/29/2018	4,500.00	733
11AM	6-3-8	4/30/2018	4,500.00	429
11AM	5-0-9	5/1/2018	4,500.00	1149
11AM	5-4-0	5/2/2018	4,500.00	579
11AM	3-9-8	5/3/2018	4,500.00	558
11AM	9-8-5	5/4/2018	4,500.00	944
11AM	0-9-1	5/5/2018	4,500.00	237
11AM	0-2-6	5/6/2018	4,500.00	328
11AM	7-5-3	5/7/2018	4,500.00	415
11AM	7-2-5	5/8/2018	4,500.00	544
11AM	0-0-4	5/9/2018	4,500.00	208
11AM	5-8-8	5/10/2018	4,500.00	989
11AM	9-5-3	5/11/2018	4,500.00	191
11AM	0-2-5	5/12/2018	4,500.00	700
11AM	0-4-6	5/13/2018	4,500.00	304
11AM	1-3-3	5/14/2018	4,500.00	311
11AM	5-1-9	5/15/2018	4,500.00	991
11AM	5-4-6	5/16/2018	4,500.00	699
11AM	8-4-6	5/17/2018	4,500.00	673
11AM	5-8-5	5/18/2018	4,500.00	816
11AM	5-8-9	5/19/2018	4,500.00	820
11AM	9-2-9	5/20/2018	4,500.00	612
11AM	4-2-6	5/21/2018	4,500.00	780
11AM	5-9-1	5/22/2018	4,500.00	197
11AM	9-8-4	5/23/2018	4,500.00	139
11AM	9-3-5	5/24/2018	4,500.00	256
11AM	5-4-3	5/25/2018	4,500.00	713
11AM	3-8-5	5/27/2018	4,500.00	341
11AM	6-6-8	5/26/2018	4,500.00	336
11AM	7-2-4	5/28/2018	4,500.00	1137
11AM	8-9-0	5/29/2018	4,500.00	553
11AM	6-7-6	5/30/2018	4,500.00	389
11AM	8-8-4	5/31/2018	4,500.00	199
11AM	6-8-2	6/1/2018	4,500.00	211
11AM	0-8-6	6/2/2018	4,500.00	89
11AM	2-1-8	6/3/2018	4,500.00	1025
11AM	0-8-3	6/4/2018	4,500.00	93
11AM	8-0-3	6/5/2018	4,500.00	160
11AM	7-0-1	6/6/2018	4,500.00	426
11AM	9-2-5	6/7/2018	4,500.00	757
11AM	0-4-8	6/8/2018	4,500.00	433
11AM	7-2-4	6/9/2018	4,500.00	420
11AM	9-1-8	6/10/2018	4,500.00	629
11AM	9-9-8	6/11/2018	4,500.00	474
11AM	8-4-4	6/12/2018	4,500.00	322
11AM	8-9-4	6/13/2018	4,500.00	469
11AM	9-2-6	6/14/2018	4,500.00	443
11AM	1-5-1	6/15/2018	4,500.00	1021
11AM	5-4-5	6/16/2018	4,500.00	548
11AM	7-9-8	6/17/2018	4,500.00	666
11AM	8-5-2	6/18/2018	4,500.00	346
11AM	5-0-8	6/19/2018	4,500.00	676
11AM	3-5-2	6/20/2018	4,500.00	726
11AM	8-7-7	6/21/2018	4,500.00	424
11AM	9-7-7	6/22/2018	4,500.00	608
11AM	5-5-3	6/23/2018	4,500.00	751
11AM	2-8-8	6/24/2018	4,500.00	626
11AM	8-4-9	6/25/2018	4,500.00	276
11AM	7-3-9	6/26/2018	4,500.00	439
11AM	4-5-1	6/27/2018	4,500.00	570
11AM	4-9-5	6/28/2018	4,500.00	340
11AM	3-1-1	6/29/2018	4,500.00	695
11AM	9-3-5	6/30/2018	4,500.00	386
11AM	0-1-1	7/1/2018	4,500.00	264
11AM	9-7-1	7/2/2018	4,500.00	597
11AM	7-8-9	7/3/2018	4,500.00	615
11AM	7-3-9	7/4/2018	4,500.00	327
11AM	2-7-5	7/5/2018	4,500.00	524
11AM	9-3-0	7/6/2018	4,500.00	581
11AM	2-5-3	7/7/2018	4,500.00	406
11AM	4-4-2	7/8/2018	4,500.00	644
11AM	3-6-9	7/9/2018	4,500.00	489
11AM	7-1-1	7/10/2018	4,500.00	1149
11AM	5-0-7	7/11/2018	4,500.00	541
11AM	2-5-8	7/12/2018	4,500.00	752
11AM	1-9-4	7/13/2018	4,500.00	634
11AM	8-0-4	7/14/2018	4,500.00	480
11AM	7-5-6	7/15/2018	4,500.00	611
11AM	7-2-6	7/16/2018	4,500.00	1102
11AM	1-0-3	7/17/2018	4,500.00	1106
11AM	5-4-0	7/18/2018	4,500.00	301
11AM	2-7-8	7/19/2018	4,500.00	656
11AM	8-3-1	7/20/2018	4,500.00	914
11AM	5-0-2	7/21/2018	4,500.00	927
11AM	4-5-3	7/22/2018	4,500.00	1048
11AM	5-4-4	7/23/2018	4,500.00	428
11AM	6-3-6	7/24/2018	4,500.00	355
11AM	4-8-7	7/25/2018	4,500.00	385
11AM	5-4-5	7/26/2018	4,500.00	217
11AM	3-8-4	7/27/2018	4,500.00	278
11AM	7-3-8	7/28/2018	4,500.00	324
11AM	1-3-0	7/29/2018	4,500.00	288
11AM	2-2-2	7/30/2018	4,500.00	919
11AM	6-7-7	7/31/2018	4,500.00	277
11AM	3-4-5	8/1/2018	4,500.00	149
11AM	8-4-5	8/2/2018	4,500.00	596
11AM	5-7-8	8/3/2018	4,500.00	861
11AM	8-3-4	8/4/2018	4,500.00	550
